time;temp;wind;pressure;humidity
2024-06-11 14:00:00morn;28.88;3.96;1010.0;7.0
2024-06-11 14:00:00day;41.03;3.96;1010.0;7.0
2024-06-11 14:00:00eve;33.9;3.96;1010.0;7.0
2024-06-11 14:00:00night;28.2;3.96;1010.0;7.0
2024-06-12 14:00:00morn;28.56;4.9;1009.0;7.0
2024-06-12 14:00:00day;40.66;4.9;1009.0;7.0
2024-06-12 14:00:00eve;34.41;4.9;1009.0;7.0
2024-06-12 14:00:00night;27.68;4.9;1009.0;7.0
2024-06-13 14:00:00morn;28.24;4.76;1009.0;8.0
2024-06-13 14:00:00day;39.59;4.76;1009.0;8.0
2024-06-13 14:00:00eve;33.02;4.76;1009.0;8.0
2024-06-13 14:00:00night;26.89;4.76;1009.0;8.0
2024-06-14 14:00:00morn;28.4;4.85;1008.0;8.0
2024-06-14 14:00:00day;39.99;4.85;1008.0;8.0
2024-06-14 14:00:00eve;33.54;4.85;1008.0;8.0
2024-06-14 14:00:00night;27.51;4.85;1008.0;8.0
2024-06-15 14:00:00morn;29.32;4.79;1007.0;7.0
2024-06-15 14:00:00day;40.53;4.79;1007.0;7.0
2024-06-15 14:00:00eve;33.51;4.79;1007.0;7.0
2024-06-15 14:00:00night;28.44;4.79;1007.0;7.0
2024-06-16 14:00:00morn;29.99;5.32;1008.0;7.0
2024-06-16 14:00:00day;41.96;5.32;1008.0;7.0
2024-06-16 14:00:00eve;33.12;5.32;1008.0;7.0
2024-06-16 14:00:00night;29.19;5.32;1008.0;7.0
2024-06-17 14:00:00morn;30.5;5.6;1008.0;10.0
2024-06-17 14:00:00day;41.34;5.6;1008.0;10.0
2024-06-17 14:00:00eve;35.05;5.6;1008.0;10.0
2024-06-17 14:00:00night;29.62;5.6;1008.0;10.0
2024-06-18 14:00:00morn;28.45;5.86;1008.0;9.0
2024-06-18 14:00:00day;39.39;5.86;1008.0;9.0
2024-06-18 14:00:00eve;34.1;5.86;1008.0;9.0
2024-06-18 14:00:00night;27.12;5.86;1008.0;9.0
