time;temp;wind;pressure;humidity
2024-06-11morning;28.88;3.96;1010.0;7.0
2024-06-11day;41.03;3.96;1010.0;7.0
2024-06-11eveing;33.9;3.96;1010.0;7.0
2024-06-11night;28.2;3.96;1010.0;7.0
2024-06-12morning;28.56;4.9;1009.0;7.0
2024-06-12day;40.66;4.9;1009.0;7.0
2024-06-12eveing;34.41;4.9;1009.0;7.0
2024-06-12night;27.68;4.9;1009.0;7.0
2024-06-13morning;28.24;4.76;1009.0;8.0
2024-06-13day;39.59;4.76;1009.0;8.0
2024-06-13eveing;33.02;4.76;1009.0;8.0
2024-06-13night;26.89;4.76;1009.0;8.0
2024-06-14morning;28.4;4.85;1008.0;8.0
2024-06-14day;39.99;4.85;1008.0;8.0
2024-06-14eveing;33.54;4.85;1008.0;8.0
2024-06-14night;27.51;4.85;1008.0;8.0
2024-06-15morning;29.32;4.79;1007.0;7.0
2024-06-15day;40.53;4.79;1007.0;7.0
2024-06-15eveing;33.51;4.79;1007.0;7.0
2024-06-15night;28.44;4.79;1007.0;7.0
2024-06-16morning;29.99;5.32;1008.0;7.0
2024-06-16day;41.96;5.32;1008.0;7.0
2024-06-16eveing;33.12;5.32;1008.0;7.0
2024-06-16night;29.19;5.32;1008.0;7.0
2024-06-17morning;30.5;5.6;1008.0;10.0
2024-06-17day;41.34;5.6;1008.0;10.0
2024-06-17eveing;35.05;5.6;1008.0;10.0
2024-06-17night;29.62;5.6;1008.0;10.0
2024-06-18morning;28.45;5.86;1008.0;9.0
2024-06-18day;39.39;5.86;1008.0;9.0
2024-06-18eveing;34.1;5.86;1008.0;9.0
2024-06-18night;27.12;5.86;1008.0;9.0
