time;temp;wind;pressure;humidity
morning2024-06-11;28.98;13.38;758.444;17.67
day2024-06-11;34.15;10.78;759.206;13.17
evening2024-06-11;40.48;8.83;756.412;8.67
night2024-06-11;34.62;12.3;756.6659999999999;11.5
morning2024-06-12;28.88;19.78;757.9359999999999;13.0
day2024-06-12;33.45;12.95;758.698;10.33
evening2024-06-12;40.47;9.72;755.396;8.0
night2024-06-12;33.68;18.48;756.412;9.33
morning2024-06-13;27.6;18.8;757.428;11.83
day2024-06-13;33.72;19.5;758.444;9.33
evening2024-06-13;41.07;14.95;755.1419999999999;5.33
night2024-06-13;33.37;21.18;756.1579999999999;8.67
morning2024-06-14;28.02;18.95;756.412;9.83
day2024-06-14;33.9;16.07;757.6819999999999;10.17
evening2024-06-14;41.08;10.92;754.634;6.0
night2024-06-14;34.28;18.73;755.396;9.0
morning2024-06-15;29.2;16.15;755.65;15.0
day2024-06-15;35.4;17.28;756.6659999999999;11.5
evening2024-06-15;41.37;14.4;753.618;7.17
night2024-06-15;34.8;13.8;754.38;10.17
morning2024-06-16;30.87;17.98;754.8879999999999;12.0
day2024-06-16;35.88;15.67;755.396;9.5
evening2024-06-16;41.93;7.38;753.1099999999999;5.33
night2024-06-16;35.48;13.25;754.126;7.5
morning2024-06-17;30.07;14.88;755.65;12.67
day2024-06-17;35.93;27.53;757.174;12.0
evening2024-06-17;42.98;21.77;754.38;6.33
night2024-06-17;36.5;27.9;755.396;10.5
morning2024-06-18;30.6;27.13;757.174;15.33
day2024-06-18;33.83;26.22;758.444;12.83
evening2024-06-18;40.3;20.58;755.904;8.0
night2024-06-18;33.68;24.42;756.6659999999999;9.67
