time;temp;wind;pressure;humidity
2024-06-11morning;33.0;3.5;705.0;15.0
2024-06-11day;40.0;2.9;704.0;11.0
2024-06-11evening;37.0;3.0;703.0;14.0
2024-06-11night;29.0;3.5;703.0;18.0
2024-06-12morning;32.0;5.0;705.0;10.0
2024-06-12day;39.0;4.1;704.0;10.0
2024-06-12evening;35.0;4.0;703.0;12.0
2024-06-12night;29.0;3.5;703.0;14.0
2024-06-13morning;32.0;4.5;704.0;12.0
2024-06-13day;39.0;4.8;703.0;9.0
2024-06-13evening;35.0;4.3;703.0;13.0
2024-06-13night;28.0;3.9;703.0;12.0
2024-06-14morning;30.0;3.7;702.0;9.0
2024-06-14day;40.0;3.5;702.0;6.0
2024-06-14evening;36.0;3.7;700.0;5.0
2024-06-14night;27.0;3.0;702.0;12.0
2024-06-15morning;33.0;4.0;702.0;9.0
2024-06-15day;41.0;4.0;700.0;6.0
2024-06-15evening;37.0;3.5;700.0;5.0
2024-06-15night;29.0;3.4;700.0;8.0
2024-06-16morning;34.0;4.3;702.0;8.0
2024-06-16day;42.0;3.9;701.0;5.0
2024-06-16evening;38.0;3.7;700.0;5.0
2024-06-16night;30.0;3.7;700.0;7.0
2024-06-17morning;34.0;6.6;702.0;9.0
2024-06-17day;42.0;5.0;701.0;6.0
2024-06-17evening;38.0;4.3;701.0;5.0
2024-06-17night;31.0;4.5;701.0;7.0
