time;temp;wind;pressure;humidity
2024-05-23 12:00:00morn;282.46;4.88;1030.0;56.0
2024-05-23 12:00:00day;284.41;4.88;1030.0;56.0
2024-05-23 12:00:00eve;288.75;4.88;1030.0;56.0
2024-05-23 12:00:00night;283.02;4.88;1030.0;56.0
2024-05-24 12:00:00morn;278.2;2.4;1035.0;54.0
2024-05-24 12:00:00day;284.77;2.4;1035.0;54.0
2024-05-24 12:00:00eve;289.91;2.4;1035.0;54.0
2024-05-24 12:00:00night;282.77;2.4;1035.0;54.0
2024-05-25 12:00:00morn;279.84;3.91;1034.0;64.0
2024-05-25 12:00:00day;286.33;3.91;1034.0;64.0
2024-05-25 12:00:00eve;291.67;3.91;1034.0;64.0
2024-05-25 12:00:00night;285.94;3.91;1034.0;64.0
2024-05-26 12:00:00morn;282.55;4.09;1027.0;71.0
2024-05-26 12:00:00day;288.15;4.09;1027.0;71.0
2024-05-26 12:00:00eve;294.0;4.09;1027.0;71.0
2024-05-26 12:00:00night;288.37;4.09;1027.0;71.0
2024-05-27 12:00:00morn;285.32;4.3;1031.0;63.0
2024-05-27 12:00:00day;285.94;4.3;1031.0;63.0
2024-05-27 12:00:00eve;290.2;4.3;1031.0;63.0
2024-05-27 12:00:00night;284.29;4.3;1031.0;63.0
2024-05-28 12:00:00morn;278.79;2.66;1030.0;60.0
2024-05-28 12:00:00day;288.71;2.66;1030.0;60.0
2024-05-28 12:00:00eve;293.37;2.66;1030.0;60.0
2024-05-28 12:00:00night;286.09;2.66;1030.0;60.0
2024-05-29 12:00:00morn;283.89;2.66;1024.0;68.0
2024-05-29 12:00:00day;290.5;2.66;1024.0;68.0
2024-05-29 12:00:00eve;296.53;2.66;1024.0;68.0
2024-05-29 12:00:00night;287.51;2.66;1024.0;68.0
2024-05-30 12:00:00morn;286.04;2.85;1021.0;69.0
2024-05-30 12:00:00day;293.39;2.85;1021.0;69.0
2024-05-30 12:00:00eve;297.61;2.85;1021.0;69.0
2024-05-30 12:00:00night;290.61;2.85;1021.0;69.0
2024-05-31 12:00:00morn;287.43;3.24;1019.0;80.0
2024-05-31 12:00:00day;293.15;3.24;1019.0;80.0
2024-05-31 12:00:00eve;295.4;3.24;1019.0;80.0
2024-05-31 12:00:00night;289.95;3.24;1019.0;80.0
2024-06-01 12:00:00morn;286.14;3.16;1023.0;71.0
2024-06-01 12:00:00day;291.13;3.16;1023.0;71.0
2024-06-01 12:00:00eve;295.14;3.16;1023.0;71.0
2024-06-01 12:00:00night;288.82;3.16;1023.0;71.0
2024-06-02 12:00:00morn;284.36;1.94;1024.0;70.0
2024-06-02 12:00:00day;290.85;1.94;1024.0;70.0
2024-06-02 12:00:00eve;295.38;1.94;1024.0;70.0
2024-06-02 12:00:00night;288.23;1.94;1024.0;70.0
2024-06-03 12:00:00morn;286.19;2.2;1024.0;79.0
2024-06-03 12:00:00day;291.46;2.2;1024.0;79.0
2024-06-03 12:00:00eve;293.69;2.2;1024.0;79.0
2024-06-03 12:00:00night;287.26;2.2;1024.0;79.0
2024-06-04 12:00:00morn;284.08;3.1;1026.0;68.0
2024-06-04 12:00:00day;291.53;3.1;1026.0;68.0
2024-06-04 12:00:00eve;296.18;3.1;1026.0;68.0
2024-06-04 12:00:00night;290.69;3.1;1026.0;68.0
2024-06-05 12:00:00morn;286.7;4.94;1026.0;73.0
2024-06-05 12:00:00day;292.31;4.94;1026.0;73.0
2024-06-05 12:00:00eve;295.14;4.94;1026.0;73.0
2024-06-05 12:00:00night;291.83;4.94;1026.0;73.0
2024-06-06 12:00:00morn;289.3;6.45;1023.0;73.0
2024-06-06 12:00:00day;292.59;6.45;1023.0;73.0
2024-06-06 12:00:00eve;296.3;6.45;1023.0;73.0
2024-06-06 12:00:00night;291.56;6.45;1023.0;73.0
2024-06-07 12:00:00morn;289.97;6.34;1015.0;92.0
2024-06-07 12:00:00day;290.58;6.34;1015.0;92.0
2024-06-07 12:00:00eve;292.64;6.34;1015.0;92.0
2024-06-07 12:00:00night;288.79;6.34;1015.0;92.0
2024-06-08 12:00:00morn;284.77;6.68;1017.0;72.0
2024-06-08 12:00:00day;283.08;6.68;1017.0;72.0
2024-06-08 12:00:00eve;285.38;6.68;1017.0;72.0
2024-06-08 12:00:00night;284.29;6.68;1017.0;72.0
2024-06-09 12:00:00morn;283.42;6.8;1018.0;57.0
2024-06-09 12:00:00day;284.39;6.8;1018.0;57.0
2024-06-09 12:00:00eve;287.04;6.8;1018.0;57.0
2024-06-09 12:00:00night;284.15;6.8;1018.0;57.0
2024-06-10 12:00:00morn;282.78;5.28;1019.0;71.0
2024-06-10 12:00:00day;283.95;5.28;1019.0;71.0
2024-06-10 12:00:00eve;288.26;5.28;1019.0;71.0
2024-06-10 12:00:00night;287.3;5.28;1019.0;71.0
2024-06-11 12:00:00morn;285.78;2.53;1019.0;86.0
2024-06-11 12:00:00day;287.92;2.53;1019.0;86.0
2024-06-11 12:00:00eve;292.94;2.53;1019.0;86.0
2024-06-11 12:00:00night;286.07;2.53;1019.0;86.0
2024-06-12 12:00:00morn;283.04;2.13;1016.0;78.0
2024-06-12 12:00:00day;292.57;2.13;1016.0;78.0
2024-06-12 12:00:00eve;294.75;2.13;1016.0;78.0
2024-06-12 12:00:00night;289.42;2.13;1016.0;78.0
2024-06-13 12:00:00morn;287.28;3.41;1015.0;71.0
2024-06-13 12:00:00day;292.89;3.41;1015.0;71.0
2024-06-13 12:00:00eve;296.75;3.41;1015.0;71.0
2024-06-13 12:00:00night;291.15;3.41;1015.0;71.0
2024-06-14 12:00:00morn;288.48;5.25;1012.0;78.0
2024-06-14 12:00:00day;293.0;5.25;1012.0;78.0
2024-06-14 12:00:00eve;296.97;5.25;1012.0;78.0
2024-06-14 12:00:00night;292.46;5.25;1012.0;78.0
2024-06-15 12:00:00morn;291.57;5.44;1008.0;80.0
2024-06-15 12:00:00day;294.33;5.44;1008.0;80.0
2024-06-15 12:00:00eve;298.32;5.44;1008.0;80.0
2024-06-15 12:00:00night;294.49;5.44;1008.0;80.0
2024-06-16 12:00:00morn;292.29;5.65;1011.0;77.0
2024-06-16 12:00:00day;295.98;5.65;1011.0;77.0
2024-06-16 12:00:00eve;301.36;5.65;1011.0;77.0
2024-06-16 12:00:00night;296.84;5.65;1011.0;77.0
