time;temp;wind;pressure;humidity
2024-05-23 12:00:00morn;282.6;5.0;1030.0;57.0
2024-05-23 12:00:00day;284.38;5.0;1030.0;57.0
2024-05-23 12:00:00eve;288.74;5.0;1030.0;57.0
2024-05-23 12:00:00night;283.12;5.0;1030.0;57.0
2024-05-24 12:00:00morn;278.29;2.76;1035.0;53.0
2024-05-24 12:00:00day;284.34;2.76;1035.0;53.0
2024-05-24 12:00:00eve;289.5;2.76;1035.0;53.0
2024-05-24 12:00:00night;282.81;2.76;1035.0;53.0
2024-05-25 12:00:00morn;279.44;3.76;1034.0;64.0
2024-05-25 12:00:00day;285.96;3.76;1034.0;64.0
2024-05-25 12:00:00eve;291.48;3.76;1034.0;64.0
2024-05-25 12:00:00night;285.54;3.76;1034.0;64.0
2024-05-26 12:00:00morn;282.18;3.85;1028.0;70.0
2024-05-26 12:00:00day;287.96;3.85;1028.0;70.0
2024-05-26 12:00:00eve;293.93;3.85;1028.0;70.0
2024-05-26 12:00:00night;288.11;3.85;1028.0;70.0
2024-05-27 12:00:00morn;285.34;4.36;1031.0;66.0
2024-05-27 12:00:00day;285.81;4.36;1031.0;66.0
2024-05-27 12:00:00eve;290.15;4.36;1031.0;66.0
2024-05-27 12:00:00night;284.31;4.36;1031.0;66.0
2024-05-28 12:00:00morn;278.78;2.48;1030.0;60.0
2024-05-28 12:00:00day;288.43;2.48;1030.0;60.0
2024-05-28 12:00:00eve;293.17;2.48;1030.0;60.0
2024-05-28 12:00:00night;285.5;2.48;1030.0;60.0
2024-05-29 12:00:00morn;283.44;2.48;1024.0;67.0
2024-05-29 12:00:00day;290.38;2.48;1024.0;67.0
2024-05-29 12:00:00eve;296.36;2.48;1024.0;67.0
2024-05-29 12:00:00night;287.21;2.48;1024.0;67.0
2024-05-30 12:00:00morn;285.5;2.71;1021.0;68.0
2024-05-30 12:00:00day;293.17;2.71;1021.0;68.0
2024-05-30 12:00:00eve;297.47;2.71;1021.0;68.0
2024-05-30 12:00:00night;290.24;2.71;1021.0;68.0
2024-05-31 12:00:00morn;287.15;3.23;1020.0;79.0
2024-05-31 12:00:00day;293.17;3.23;1020.0;79.0
2024-05-31 12:00:00eve;295.57;3.23;1020.0;79.0
2024-05-31 12:00:00night;290.03;3.23;1020.0;79.0
2024-06-01 12:00:00morn;286.21;3.25;1023.0;72.0
2024-06-01 12:00:00day;291.08;3.25;1023.0;72.0
2024-06-01 12:00:00eve;295.2;3.25;1023.0;72.0
2024-06-01 12:00:00night;288.91;3.25;1023.0;72.0
2024-06-02 12:00:00morn;284.08;1.88;1024.0;69.0
2024-06-02 12:00:00day;290.86;1.88;1024.0;69.0
2024-06-02 12:00:00eve;295.6;1.88;1024.0;69.0
2024-06-02 12:00:00night;287.77;1.88;1024.0;69.0
2024-06-03 12:00:00morn;285.9;2.02;1024.0;78.0
2024-06-03 12:00:00day;291.61;2.02;1024.0;78.0
2024-06-03 12:00:00eve;293.44;2.02;1024.0;78.0
2024-06-03 12:00:00night;287.41;2.02;1024.0;78.0
2024-06-04 12:00:00morn;284.08;3.11;1026.0;68.0
2024-06-04 12:00:00day;291.45;3.11;1026.0;68.0
2024-06-04 12:00:00eve;296.21;3.11;1026.0;68.0
2024-06-04 12:00:00night;290.72;3.11;1026.0;68.0
2024-06-05 12:00:00morn;286.65;4.98;1026.0;73.0
2024-06-05 12:00:00day;292.23;4.98;1026.0;73.0
2024-06-05 12:00:00eve;294.93;4.98;1026.0;73.0
2024-06-05 12:00:00night;291.7;4.98;1026.0;73.0
2024-06-06 12:00:00morn;289.15;6.38;1023.0;73.0
2024-06-06 12:00:00day;292.38;6.38;1023.0;73.0
2024-06-06 12:00:00eve;296.04;6.38;1023.0;73.0
2024-06-06 12:00:00night;291.39;6.38;1023.0;73.0
2024-06-07 12:00:00morn;289.78;6.18;1015.0;92.0
2024-06-07 12:00:00day;290.45;6.18;1015.0;92.0
2024-06-07 12:00:00eve;292.58;6.18;1015.0;92.0
2024-06-07 12:00:00night;288.6;6.18;1015.0;92.0
2024-06-08 12:00:00morn;284.48;6.57;1017.0;71.0
2024-06-08 12:00:00day;282.95;6.57;1017.0;71.0
2024-06-08 12:00:00eve;285.42;6.57;1017.0;71.0
2024-06-08 12:00:00night;284.16;6.57;1017.0;71.0
2024-06-09 12:00:00morn;283.25;6.7;1018.0;56.0
2024-06-09 12:00:00day;284.3;6.7;1018.0;56.0
2024-06-09 12:00:00eve;287.15;6.7;1018.0;56.0
2024-06-09 12:00:00night;284.08;6.7;1018.0;56.0
2024-06-10 12:00:00morn;282.56;5.25;1019.0;69.0
2024-06-10 12:00:00day;283.91;5.25;1019.0;69.0
2024-06-10 12:00:00eve;288.32;5.25;1019.0;69.0
2024-06-10 12:00:00night;287.03;5.25;1019.0;69.0
2024-06-11 12:00:00morn;285.61;2.46;1019.0;86.0
2024-06-11 12:00:00day;287.63;2.46;1019.0;86.0
2024-06-11 12:00:00eve;292.85;2.46;1019.0;86.0
2024-06-11 12:00:00night;285.86;2.46;1019.0;86.0
2024-06-12 12:00:00morn;282.85;2.11;1016.0;77.0
2024-06-12 12:00:00day;292.15;2.11;1016.0;77.0
2024-06-12 12:00:00eve;294.89;2.11;1016.0;77.0
2024-06-12 12:00:00night;289.19;2.11;1016.0;77.0
2024-06-13 12:00:00morn;286.96;3.35;1015.0;70.0
2024-06-13 12:00:00day;292.68;3.35;1015.0;70.0
2024-06-13 12:00:00eve;296.6;3.35;1015.0;70.0
2024-06-13 12:00:00night;291.11;3.35;1015.0;70.0
2024-06-14 12:00:00morn;288.23;5.2;1012.0;78.0
2024-06-14 12:00:00day;292.74;5.2;1012.0;78.0
2024-06-14 12:00:00eve;296.55;5.2;1012.0;78.0
2024-06-14 12:00:00night;292.36;5.2;1012.0;78.0
2024-06-15 12:00:00morn;291.45;5.44;1007.0;80.0
2024-06-15 12:00:00day;294.14;5.44;1007.0;80.0
2024-06-15 12:00:00eve;297.97;5.44;1007.0;80.0
2024-06-15 12:00:00night;294.25;5.44;1007.0;80.0
2024-06-16 12:00:00morn;292.0;5.66;1011.0;76.0
2024-06-16 12:00:00day;295.75;5.66;1011.0;76.0
2024-06-16 12:00:00eve;301.21;5.66;1011.0;76.0
2024-06-16 12:00:00night;296.64;5.66;1011.0;76.0
2024-06-17 12:00:00morn;293.74;4.97;1012.0;74.0
2024-06-17 12:00:00day;296.55;4.97;1012.0;74.0
2024-06-17 12:00:00eve;300.8;4.97;1012.0;74.0
2024-06-17 12:00:00night;295.96;4.97;1012.0;74.0
2024-06-18 12:00:00morn;292.55;5.68;1010.0;83.0
2024-06-18 12:00:00day;295.4;5.68;1010.0;83.0
2024-06-18 12:00:00eve;299.0;5.68;1010.0;83.0
2024-06-18 12:00:00night;293.72;5.68;1010.0;83.0
2024-06-19 12:00:00morn;291.02;4.2;1011.0;92.0
2024-06-19 12:00:00day;291.35;4.2;1011.0;92.0
2024-06-19 12:00:00eve;290.66;4.2;1011.0;92.0
2024-06-19 12:00:00night;287.21;4.2;1011.0;92.0
2024-06-20 12:00:00morn;285.28;3.74;1012.0;93.0
2024-06-20 12:00:00day;285.77;3.74;1012.0;93.0
2024-06-20 12:00:00eve;289.33;3.74;1012.0;93.0
2024-06-20 12:00:00night;287.47;3.74;1012.0;93.0
2024-06-21 12:00:00morn;284.83;2.76;1013.0;69.0
2024-06-21 12:00:00day;290.81;2.76;1013.0;69.0
2024-06-21 12:00:00eve;296.5;2.76;1013.0;69.0
2024-06-21 12:00:00night;288.87;2.76;1013.0;69.0
