time;temp;wind;pressure;humidity
2024-05-23 12:00:00morn;282.51;4.88;1030.0;56.0
2024-05-23 12:00:00day;284.53;4.88;1030.0;56.0
2024-05-23 12:00:00eve;288.91;4.88;1030.0;56.0
2024-05-23 12:00:00night;283.21;4.88;1030.0;56.0
2024-05-24 12:00:00morn;278.36;2.55;1035.0;54.0
2024-05-24 12:00:00day;284.76;2.55;1035.0;54.0
2024-05-24 12:00:00eve;289.91;2.55;1035.0;54.0
2024-05-24 12:00:00night;282.99;2.55;1035.0;54.0
2024-05-25 12:00:00morn;279.86;3.93;1034.0;64.0
2024-05-25 12:00:00day;286.26;3.93;1034.0;64.0
2024-05-25 12:00:00eve;291.73;3.93;1034.0;64.0
2024-05-25 12:00:00night;285.96;3.93;1034.0;64.0
2024-05-26 12:00:00morn;282.55;4.06;1027.0;71.0
2024-05-26 12:00:00day;288.19;4.06;1027.0;71.0
2024-05-26 12:00:00eve;294.09;4.06;1027.0;71.0
2024-05-26 12:00:00night;288.4;4.06;1027.0;71.0
2024-05-27 12:00:00morn;285.38;4.27;1031.0;64.0
2024-05-27 12:00:00day;285.96;4.27;1031.0;64.0
2024-05-27 12:00:00eve;290.32;4.27;1031.0;64.0
2024-05-27 12:00:00night;284.4;4.27;1031.0;64.0
2024-05-28 12:00:00morn;278.84;2.6;1030.0;60.0
2024-05-28 12:00:00day;288.8;2.6;1030.0;60.0
2024-05-28 12:00:00eve;293.49;2.6;1030.0;60.0
2024-05-28 12:00:00night;286.06;2.6;1030.0;60.0
2024-05-29 12:00:00morn;283.9;2.6;1024.0;68.0
2024-05-29 12:00:00day;290.61;2.6;1024.0;68.0
2024-05-29 12:00:00eve;296.63;2.6;1024.0;68.0
2024-05-29 12:00:00night;287.73;2.6;1024.0;68.0
2024-05-30 12:00:00morn;286.01;2.85;1021.0;68.0
2024-05-30 12:00:00day;293.42;2.85;1021.0;68.0
2024-05-30 12:00:00eve;297.67;2.85;1021.0;68.0
2024-05-30 12:00:00night;290.67;2.85;1021.0;68.0
2024-05-31 12:00:00morn;287.46;3.24;1020.0;80.0
2024-05-31 12:00:00day;293.22;3.24;1020.0;80.0
2024-05-31 12:00:00eve;295.52;3.24;1020.0;80.0
2024-05-31 12:00:00night;290.09;3.24;1020.0;80.0
2024-06-01 12:00:00morn;286.19;3.15;1023.0;71.0
2024-06-01 12:00:00day;291.34;3.15;1023.0;71.0
