time;temp;wind;pressure;humidity
morning2024-05-28;13.9;5.95;770.1279999999999;72.5
day2024-05-28;19.77;8.1;769.112;50.67
evening2024-05-28;24.28;12.85;766.826;42.83
night2024-05-28;20.25;8.88;765.81;65.0
morning2024-05-29;16.47;5.58;765.5559999999999;83.17
day2024-05-29;22.62;5.97;764.54;54.83
evening2024-05-29;25.33;6.57;763.016;41.67
night2024-05-29;21.08;7.5;762.254;63.5
morning2024-05-30;17.72;7.32;762.254;79.83
day2024-05-30;20.8;9.48;762.5079999999999;59.17
evening2024-05-30;25.12;12.38;761.7459999999999;34.0
night2024-05-30;20.17;9.05;762.254;62.67
morning2024-05-31;17.2;7.03;762.5079999999999;73.33
day2024-05-31;22.18;14.22;762.5079999999999;52.67
evening2024-05-31;26.4;16.98;761.7459999999999;43.5
night2024-05-31;21.0;10.15;761.2379999999999;67.0
morning2024-06-01;17.45;8.87;761.2379999999999;84.83
day2024-06-01;19.95;14.28;761.7459999999999;73.83
evening2024-06-01;21.95;15.08;761.7459999999999;67.83
night2024-06-01;19.72;11.75;762.5079999999999;77.33
morning2024-06-02;17.58;8.52;763.27;84.83
day2024-06-02;23.87;10.7;763.5239999999999;56.33
evening2024-06-02;27.48;16.78;762.762;42.17
night2024-06-02;22.37;11.6;762.762;68.17
morning2024-06-03;18.92;9.18;762.5079999999999;88.0
day2024-06-03;23.12;12.52;762.254;66.33
evening2024-06-03;25.5;12.53;762.0;47.5
night2024-06-03;21.53;6.78;762.0;57.83
morning2024-06-04;18.38;3.62;762.254;68.33
day2024-06-04;23.35;6.77;761.7459999999999;51.5
evening2024-06-04;25.45;11.58;760.222;45.67
night2024-06-04;20.37;10.57;759.4599999999999;77.0
morning2024-06-05;17.12;11.88;758.698;88.5
day2024-06-05;19.63;12.3;757.6819999999999;78.83
evening2024-06-05;22.25;16.55;756.6659999999999;66.67
night2024-06-05;18.55;12.53;757.428;77.0
morning2024-06-06;16.07;9.95;758.698;80.17
day2024-06-06;21.75;11.4;759.7139999999999;54.17
evening2024-06-06;25.4;14.27;759.7139999999999;40.83
night2024-06-06;21.15;9.0;760.222;60.67
