time;temp;wind;pressure;humidity
morning2024-05-28;13.03;5.82;770.1279999999999;75.5
day2024-05-28;18.35;7.08;769.112;57.0
evening2024-05-28;24.58;9.4;767.334;40.0
night2024-05-28;20.58;8.52;765.81;61.17
morning2024-05-29;15.8;5.88;765.81;86.0
day2024-05-29;21.1;5.95;764.794;61.83
evening2024-05-29;24.92;5.08;763.27;44.33
night2024-05-29;20.98;5.1;762.254;61.0
morning2024-05-30;16.9;6.88;762.254;85.33
day2024-05-30;19.12;8.83;762.5079999999999;71.33
evening2024-05-30;24.88;9.48;761.7459999999999;38.0
night2024-05-30;20.48;8.77;762.0;60.83
morning2024-05-31;16.85;5.82;762.5079999999999;74.67
day2024-05-31;20.73;12.88;762.5079999999999;58.33
evening2024-05-31;26.23;16.3;761.7459999999999;43.5
night2024-05-31;21.77;12.12;761.2379999999999;62.83
morning2024-06-01;16.83;8.77;761.2379999999999;88.17
day2024-06-01;20.18;12.18;761.2379999999999;72.83
evening2024-06-01;21.9;13.13;761.7459999999999;67.67
night2024-06-01;20.07;12.0;762.254;75.33
morning2024-06-02;16.78;8.82;763.27;87.17
day2024-06-02;22.03;10.3;763.5239999999999;65.17
evening2024-06-02;26.75;15.42;763.016;46.67
night2024-06-02;22.63;11.4;762.762;63.5
morning2024-06-03;18.02;8.33;762.762;90.17
day2024-06-03;21.65;12.23;762.254;73.5
evening2024-06-03;25.53;12.9;762.0;47.83
night2024-06-03;21.25;9.17;762.0;58.83
morning2024-06-04;17.25;3.17;762.254;71.0
day2024-06-04;21.88;5.93;761.7459999999999;56.33
evening2024-06-04;25.53;10.43;760.476;44.17
night2024-06-04;20.47;10.07;759.4599999999999;72.33
morning2024-06-05;16.62;10.92;758.698;90.83
day2024-06-05;17.85;10.97;757.9359999999999;85.83
evening2024-06-05;21.65;14.63;756.6659999999999;68.83
night2024-06-05;17.93;12.53;757.174;83.5
morning2024-06-06;14.78;9.62;758.444;87.33
day2024-06-06;19.78;11.05;759.4599999999999;65.17
evening2024-06-06;25.32;13.73;759.4599999999999;41.17
night2024-06-06;21.0;9.97;760.222;61.5
