time;temp;wind;pressure;humidity
2024-05-16morning;14.0;3.5;756.0;44.0
2024-05-16day;20.0;3.7;753.0;30.0
2024-05-16evening;19.0;2.5;751.0;39.0
2024-05-16night;9.0;2.0;756.0;58.0
2024-05-17morning;16.0;4.6;749.0;66.0
2024-05-17day;19.0;5.0;749.0;33.0
2024-05-17evening;17.0;4.0;750.0;35.0
2024-05-17night;15.0;3.0;750.0;72.0
2024-05-18morning;13.0;3.7;753.0;46.0
2024-05-18day;18.0;3.5;752.0;28.0
2024-05-18evening;17.0;2.7;752.0;33.0
2024-05-18night;11.0;3.0;751.0;59.0
2024-05-19morning;15.0;2.4;753.0;44.0
2024-05-19day;20.0;2.7;752.0;24.0
2024-05-19evening;19.0;2.5;751.0;33.0
2024-05-19night;11.0;1.6;753.0;57.0
2024-05-20morning;15.0;2.7;752.0;56.0
2024-05-20day;23.0;3.0;751.0;31.0
2024-05-20evening;20.0;2.9;750.0;36.0
2024-05-20night;12.0;1.8;751.0;62.0
2024-05-21morning;17.0;3.0;750.0;61.0
2024-05-21day;22.0;3.7;750.0;45.0
2024-05-21evening;20.0;3.4;750.0;48.0
2024-05-21night;15.0;2.0;750.0;59.0
2024-05-22morning;15.0;2.7;751.0;67.0
2024-05-22day;19.0;3.7;751.0;53.0
2024-05-22evening;17.0;3.9;752.0;55.0
2024-05-22night;13.0;2.2;751.0;69.0
