time;temp;wind;pressure;humidity
2024-05-16morning;14.0;3.2;755.0;51.0
2024-05-16day;20.0;3.7;753.0;30.0
2024-05-16evening;18.0;2.0;751.0;43.0
2024-05-16night;7.0;1.6;756.0;66.0
2024-05-17morning;16.0;4.5;749.0;63.0
2024-05-17day;20.0;4.8;749.0;30.0
2024-05-17evening;16.0;3.7;749.0;36.0
2024-05-17night;14.0;2.7;749.0;73.0
2024-05-18morning;13.0;3.2;753.0;46.0
2024-05-18day;18.0;3.2;752.0;24.0
2024-05-18evening;17.0;2.2;751.0;31.0
2024-05-18night;10.0;2.7;751.0;60.0
2024-05-19morning;15.0;2.2;753.0;44.0
2024-05-19day;20.0;2.4;752.0;23.0
2024-05-19evening;19.0;2.0;751.0;31.0
2024-05-19night;9.0;1.2;752.0;60.0
2024-05-20morning;15.0;2.7;751.0;54.0
2024-05-20day;22.0;3.0;751.0;27.0
2024-05-20evening;20.0;2.9;749.0;36.0
2024-05-20night;11.0;1.7;751.0;63.0
2024-05-21morning;17.0;3.0;750.0;62.0
2024-05-21day;22.0;3.5;750.0;44.0
2024-05-21evening;19.0;3.2;750.0;49.0
2024-05-21night;13.0;1.7;749.0;62.0
2024-05-22morning;14.0;2.5;751.0;72.0
2024-05-22day;19.0;3.4;751.0;53.0
2024-05-22evening;16.0;3.5;752.0;55.0
2024-05-22night;12.0;2.2;750.0;71.0
