time;temp;wind;pressure;humidity
2024-05-16morning;13.0;3.4;752.0;51.0
2024-05-16day;19.0;3.5;749.0;29.0
2024-05-16evening;18.0;2.0;747.0;44.0
2024-05-16night;7.0;1.7;752.0;66.0
2024-05-17morning;15.0;4.4;745.0;65.0
2024-05-17day;19.0;4.6;745.0;30.0
2024-05-17evening;16.0;3.4;746.0;32.0
2024-05-17night;13.0;2.7;746.0;73.0
2024-05-18morning;13.0;3.5;749.0;46.0
2024-05-18day;17.0;3.2;748.0;25.0
2024-05-18evening;16.0;2.2;748.0;31.0
2024-05-18night;10.0;2.5;747.0;59.0
2024-05-19morning;14.0;2.2;749.0;43.0
2024-05-19day;20.0;2.4;749.0;23.0
2024-05-19evening;18.0;2.0;747.0;33.0
2024-05-19night;9.0;1.2;748.0;60.0
2024-05-20morning;14.0;2.2;748.0;56.0
2024-05-20day;21.0;2.7;747.0;27.0
2024-05-20evening;18.0;2.7;747.0;38.0
2024-05-20night;10.0;1.5;748.0;64.0
2024-05-21morning;16.0;2.4;746.0;56.0
2024-05-21day;22.0;3.0;746.0;33.0
2024-05-21evening;20.0;3.0;745.0;46.0
2024-05-21night;13.0;1.5;746.0;62.0
2024-05-22morning;15.0;2.0;747.0;74.0
2024-05-22day;19.0;3.0;747.0;60.0
2024-05-22evening;16.0;2.9;748.0;59.0
2024-05-22night;14.0;1.6;746.0;73.0
